Step(s),Voltage(V),Current_inv(A),SOC_true(%)
780,3.3043,-152.0872,99.3306
781,3.3042,-152.0886,99.3293
782,3.3041,-152.0984,99.328
783,3.3039,-152.0961,99.3268
784,3.3038,-152.0977,99.3255
785,3.3037,-152.1085,99.3242
786,3.3036,-152.1107,99.323
787,3.3035,-152.1198,99.3217
788,3.3034,-152.1222,99.3204
789,3.3033,-152.1227,99.3192
790,3.3032,-152.134,99.3179
791,3.303,-152.1361,99.3167
792,3.303,-152.1495,99.3154
793,3.3028,-152.1488,99.3141
794,3.3027,-152.1466,99.3129
795,3.3026,-152.1658,99.3116
796,3.3025,-152.1646,99.3103
797,3.3024,-152.1675,99.3091
798,3.3023,-152.1722,99.3078
799,3.3022,-152.1758,99.3065
800,3.3021,-152.1872,99.3053
801,3.302,-152.1912,99.304
802,3.3019,-152.1871,99.3027
803,3.3017,-152.1989,99.3015
804,3.3016,-152.2004,99.3002
805,3.3015,-152.2126,99.2989
806,3.3014,-152.2156,99.2977
807,3.3013,-152.2098,99.2964
808,3.3012,-152.2276,99.2952
809,3.3011,-152.2262,99.2939
810,3.301,-152.223,99.2926
811,3.3009,-152.241,99.2914
812,3.3008,-152.2425,99.2901
813,3.3007,-152.251,99.2888
814,3.3006,-152.2569,99.2876
815,3.3004,-152.2539,99.2863
816,3.3004,-152.2612,99.285
817,3.3003,-152.2644,99.2838
818,3.3002,-152.2621,99.2825
819,3.3001,-152.2797,99.2812
820,3.2999,-152.2795,99.28
